location,city,province,lat,lon,type
Block 11,Block 11,,7.0751706,125.5236932,city_block
Purok 2,Purok 2,,8.6199586,123.7127334,city_block
Purok Dos,Purok Dos,,10.3757576,122.9962885,city_block
Purok 1,Purok 1,,8.6210909,123.7127656,city_block
Tabaco,Tabaco,,13.3593077,123.7302007,city
Sanglay,Sanglay,,11.466069,121.9174882,city_block
Tigbao,Tigbao,,11.4648118,121.912893,city_block
Geronimo Compound,Geronimo Compound,,14.6790841,121.0517918,city_block
Lasaran,Lasaran,,7.8409105,123.4278215,city_block
"Boning, Occidental Mindoro",Boning,Occidental Mindoro,13.2107026,120.6079886,city_block
"Purok 45, Occidental Mindoro",Purok 45,Occidental Mindoro,13.2234405,120.5924479,city_block
DENR Tanay Housing project,DENR Tanay Housing project,,14.607844,121.3259743,city_block
Bougainvilla,Bougainvilla,,10.3628488,123.9372416,city_block
Ubos,Ubos,,9.6376534,123.855968,city_block
"Tangub, Misamis Occidental",Tangub,Misamis Occidental,8.0609053,123.7512585,city
Saranay,Saranay,,17.7755966,120.4247925,city_block
"Paraiso, Occidental Mindoro",Paraiso,Occidental Mindoro,13.2222724,120.6012559,city_block
"Charot, Occidental Mindoro",Charot,Occidental Mindoro,13.2207136,120.5986089,city_block
"Masikap, Occidental Mindoro",Masikap,Occidental Mindoro,13.2216782,120.5987042,city_block
"Bansutan, Occidental Mindoro",Bansutan,Occidental Mindoro,13.222051,120.599341,city_block
"Calle 11, Occidental Mindoro",Calle 11,Occidental Mindoro,13.2230404,120.5991939,city_block
"Bagong Silang, Occidental Mindoro",Bagong Silang,Occidental Mindoro,13.2199103,120.6084871,city_block
"Pag-asa Kaliwa, Occidental Mindoro",Pag-asa Kaliwa,Occidental Mindoro,13.2171869,120.6067062,city_block
"Pag-asa Kanan, Occidental Mindoro",Pag-asa Kanan,Occidental Mindoro,13.2139301,120.6057949,city_block
"Maligaya, Occidental Mindoro",Maligaya,Occidental Mindoro,13.21986,120.6038288,city_block
"Bagong Sikat, Occidental Mindoro",Bagong Sikat,Occidental Mindoro,13.2178116,120.5979239,city_block
"Forestry, Occidental Mindoro",Forestry,Occidental Mindoro,13.216003,120.6081616,city_block
"Airport, Occidental Mindoro",Airport,Occidental Mindoro,13.2099268,120.6038962,city_block
"Seaside, Occidental Mindoro",Seaside,Occidental Mindoro,13.215613,120.5995306,city_block
Purok 1A,Purok 1A,,10.9023918,123.060363,city_block
Franco-Perez Compound,Franco-Perez Compound,,14.1804182,121.1988464,city_block
Masaya,Masaya,,10.2530889,119.2069307,city_block
Bagatnan,Bagatnan,,10.729057,122.3174064,city_block
Tunga,Tunga,,10.7298173,122.3181623,city_block
"Takas, Iloilo",Takas,Iloilo,10.7309436,122.3180498,city_block
Natip,Natip,,10.7258066,122.3156012,city_block
Durog,Durog,,10.7286126,122.3183601,city_block
Divine Graceville,Divine Graceville,,14.7410079,121.0623015,city_block
HACCCI Village,HACCCI Village,,14.7473306,121.0630945,city_block
Mahogany,Mahogany,,10.9159464,123.4734803,city_block
San Isidro,San Isidro,,6.6820176,122.0651612,city_block
Zone Ⅱ,Zone Ⅱ,,10.9262607,125.0132633,city_block
B17,B17,,14.3458069,120.9130232,city_block
B1,B1,,14.3447588,120.9141821,city_block
B11,B11,,14.3454035,120.9141486,city_block
B12,B12,,14.3456675,120.9141589,city_block
B3,B3,,14.3451357,120.9158205,city_block
B4,B4,,14.3450903,120.9155588,city_block
B5,B5,,14.3451297,120.9152895,city_block
B8,B8,,14.3448148,120.9147747,city_block
B9,B9,,14.3449896,120.9145097,city_block
B13,B13,,14.3458516,120.9138348,city_block
B14,B14,,14.3460945,120.9138051,city_block
B15,B15,,14.3463225,120.9137921,city_block
B10,B10,,14.3451848,120.9142609,city_block
B16,B16,,14.3465347,120.913849,city_block
B2,B2,,14.345117,120.9160651,city_block
B6,B6,,14.3451648,120.9150212,city_block
Rodfer III,Rodfer III,,14.5673722,121.111157,city_block
Villa Stella 2,Villa Stella 2,,14.5685025,121.1114195,city_block
DM 6,DM 6,,14.5670063,121.1127087,city_block
"Cabadbaran, Agusan del Norte",Cabadbaran,Agusan del Norte,9.1232854,125.5322317,city
Eastern Buyagan,Eastern Buyagan,,16.4602327,120.5836496,city_block
Zone 1,Zone 1,,11.4883202,124.5966487,city_block
Zone 2,Zone 2,,12.9436394,120.8914304,city_block
Zone 4,Zone 4,,12.9326248,120.8659152,city_block
Zone 3,Zone 3,,10.6820556,122.5391409,city_block
587 Zone 58,587 Zone 58,,14.6017351,121.0156117,city_block
Dalisay 1,Dalisay 1,,6.9304181,125.3220507,city_block
Block 1A,Block 1A,,7.1050987,125.6077331,city_block
Executive Homes 3,Executive Homes 3,,14.6124857,121.1101578,city_block
4711 Heights,4711 Heights,,14.5702885,121.1122963,city_block
Ramaville Subd,Ramaville Subd,,14.5673485,121.1118449,city_block
Payatas B,Payatas B,,14.7095522,121.0983306,city_block
UE Village,UE Village,,14.6271808,121.1055964,city_block
Grande Valle,Grande Valle,,14.626721,121.1076924,city_block
Grand Montana,Grand Montana,,14.6271052,121.1075167,city_block
Elite Techno Park,Elite Techno Park,,14.5544609,120.98699,city_block
Purok 4,Purok 4,,8.5011025,123.3021328,city_block
Dubai,Dubai,,10.2790721,123.9602041,city_block
Purok 15,Purok 15,,14.5000829,121.0572408,city_block
Ipil,Ipil,,10.2405183,122.8570226,city_block
Barra,Barra,,10.8027573,122.9687354,city_block
Villa Angela,Villa Angela,,10.240312,122.8593256,city_block
CKK,CKK,,10.7853648,122.9681067,city_block
Purok 19,Purok 19,,9.9722358,122.6322091,city_block
Santo Niño Subdivision,Santo Niño Subdivision,,10.6969118,122.4954299,city_block
Block 22,Block 22,,14.8074884,121.0236339,city_block
Block 20,Block 20,,14.8083041,121.0221987,city_block
Charlie Mella Compound,Charlie Mella Compound,,14.4979468,121.0499587,city_block
Metro Subdivision,Metro Subdivision,,14.7432111,121.0582834,city_block
Area 5,Area 5,,14.6380395,121.0646353,city_block
76,76,,14.731399,121.0676726,city_block
59,59,,14.7276235,121.069669,city_block
44,44,,7.0704905,125.6229094,city_block
43,43,,7.0703693,125.6229108,city_block
41,41,,14.7251397,121.0664083,city_block
Cattleya Compound,Cattleya Compound,,14.562136,121.0888275,city_block
45,45,,14.7251937,121.0679657,city_block
42,42,,7.0702476,125.6229175,city_block
Shining Hope Phase 1,Shining Hope Phase 1,,14.6878219,121.053549,city_block
64,64,,14.7288631,121.0682196,city_block
Rainbow Homes 2,Rainbow Homes 2,,14.7476166,121.0308411,city_block
Area 6,Area 6,,14.6411676,121.067806,city_block
San Pedro Compound 2 & 3,San Pedro Compound 2 & 3,,14.6823205,121.0386126,city_block
Lemaville roque 1,Lemaville roque 1,,14.6880985,121.0540099,city_block
Bernardino Gonzales Compound,Bernardino Gonzales Compound,,14.7274602,121.0354886,city_block
Pag-asa Compound,Pag-asa Compound,,14.7267243,121.0343889,city_block
Area 2,Area 2,,14.6832403,121.0678559,city_block
Pingkian 3,Pingkian 3,,14.6887675,121.0595763,city_block
Nawasa Line A-7,Nawasa Line A-7,,14.6909475,121.0697085,city_block
Purok 16,Purok 16,,14.6949193,121.0752718,city_block
Sampaloc Lower,Sampaloc Lower,,14.6801197,121.0473759,city_block
78,78,,14.7314073,121.0667541,city_block
46,46,,14.7252793,121.0683007,city_block
35,35,,14.7241368,121.0647048,city_block
Pabaya Compound,Pabaya Compound,,14.6935797,121.0272354,city_block
Block 15,Block 15,,14.7295751,121.0456913,city_block
Block 3,Block 3,,14.8071834,121.02073,city_block
Block 13,Block 13,,14.584641,121.0382271,city_block
Block 2,Block 2,,14.8074454,121.0218317,city_block
Philvira Homes,Philvira Homes,,14.6726283,121.0312846,city_block
Bagong Landas 7 Lower,Bagong Landas 7 Lower,,14.7268869,121.0361425,city_block
Tarhaville,Tarhaville,,14.7080388,121.0490371,city_block
Mirandaville,Mirandaville,,14.7349369,121.0415744,city_block
Orchids,Orchids,,7.5944802,123.2452324,city_block
Tapia Subdivision,Tapia Subdivision,,14.0862939,121.1450838,city_block
Sitio Ⅲ,Sitio Ⅲ,,14.5822025,121.0303406,city_block
Sitio IV,Sitio IV,,14.5854874,121.0322162,city_block
Evergreen,Evergreen,,14.6772048,121.0489514,city_block
Block 36,Block 36,,14.8095656,121.0241436,city_block
Block 35,Block 35,,14.8094031,121.0244805,city_block
Cleofas Compound,Cleofas Compound,,14.6709167,121.0331246,city_block
Block 39-40,Block 39-40,,14.580472,121.0368416,city_block
Martinez Compound,Martinez Compound,,14.4375063,121.0104454,city_block
Ikasig,Ikasig,,10.2718985,123.9821994,city_block
Gatan,Gatan,,7.8248059,123.3978206,city_block
Kilayko,Kilayko,,10.7365567,122.9754296,city_block
Star Apple,Star Apple,,10.6408,123.0200575,city_block
Encarnacion,Encarnacion,,10.7373359,122.9688624,city_block
Amor,Amor,,10.7368233,122.9695585,city_block
Kalubihan,Kalubihan,,10.6897787,122.9941892,city_block
Kaburihan,Kaburihan,,10.6879284,122.9922754,city_block
Carvic,Carvic,,10.6903694,122.9602611,city_block
Tuburan,Tuburan,,10.6905136,122.9647646,city_block
Santol,Santol,,13.4350511,123.6779733,city_block
Sambag,Sambag,,11.0678724,123.9372606,city_block
Purok 14,Purok 14,,14.2041248,121.0996275,city_block
Barangay 157,Barangay 157,,14.6182307,120.9736602,city_block
Barangay 156,Barangay 156,,14.6180827,120.9727469,city_block
Barangay 154,Barangay 154,,14.6193012,120.9721233,city_block
Kulo,Kulo,,10.9175898,123.4885517,city_block
Zone 5,Zone 5,,13.3027103,123.2392712,city_block
34,34,,14.7224998,121.0646087,city_block
33,33,,14.7220024,121.065172,city_block
32,32,,14.7224284,121.0656685,city_block
52,52,,14.7254213,121.0639563,city_block
49,49,,14.7252179,121.065217,city_block
56,56,,14.7281893,121.0635271,city_block
82,82,,7.0705487,125.6244081,city_block
54,54,,14.7270499,121.0635532,city_block
86,86,,14.7290159,121.0639787,city_block
81,81,,7.0704482,125.624323,city_block
27,27,,14.7224145,121.067901,city_block
75,75,,14.7314075,121.0681605,city_block
65,65,,14.7295998,121.0687915,city_block
26,26,,14.722385,121.0682455,city_block
28,28,,14.722459,121.0673901,city_block
50,50,,14.7252488,121.0648345,city_block
40,40,,14.7251069,121.0660515,city_block
29,29,,14.722457,121.0668909,city_block
31,31,,14.722464,121.0661226,city_block
51,51,,14.7253384,121.0644209,city_block
53,53,,14.7254478,121.0635896,city_block
39,39,,14.7241179,121.0655214,city_block
30,30,,14.7224638,121.0665368,city_block
57,57,,14.7274352,121.0648405,city_block
80,80,,7.0703294,125.6242683,city_block
85,85,,14.729036,121.0644298,city_block
79,79,,7.0702692,125.6241764,city_block
48,48,,14.7252258,121.0656287,city_block
84,84,,14.7290454,121.0648592,city_block
83,83,,14.7278597,121.0652564,city_block
Zone 15,Zone 15,,10.6806745,122.5283316,city_block
Rosal,Rosal,,15.6876236,120.8557419,city_block
The Lucky HOA,The Lucky HOA,,14.7065794,121.1057122,city_block
Purok 4A,Purok 4A,,14.671701,121.0682507,city_block
Block 10,Block 10,,14.297002,120.9371433,city_block
Block 1,Block 1,,14.8068804,121.0206621,city_block
Block 12,Block 12,,14.8085379,121.0213461,city_block
Block 25,Block 25,,14.8083978,121.0244091,city_block
GK Blue Eagle,GK Blue Eagle,,14.7278043,121.1173099,city_block
Block 21,Block 21,,14.8084812,121.0229452,city_block
Block 28,Block 28,,14.8083696,121.0234294,city_block
Block 30,Block 30,,14.8086406,121.0234529,city_block
Block 23,Block 23,,6.0751044,125.1301253,city_block
Block 31,Block 31,,14.8089038,121.0243607,city_block
Block 24,Block 24,,14.8080395,121.0240893,city_block
Block 27,Block 27,,14.8083089,121.0240655,city_block
Block 29,Block 29,,14.8086557,121.0243605,city_block
Block 26,Block 26,,14.8081304,121.0234125,city_block
Block 9a,Block 9a,,7.0794182,125.5251982,city_block
RMS Ville,RMS Ville,,14.6911125,121.0025999,city_block
Graceland Homes,Graceland Homes,,14.6911358,121.0016973,city_block
Masagana,Masagana,,15.4138185,119.9159123,city_block
Avocado,Avocado,,10.6681325,122.9555001,city_block
